Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ETRL,GraniteShares 2x Long ETOR Daily ETF,Financial,Exchange Traded Fund,USA,,,9.24,-0.0067,3219.0
EXTR,Extreme Networks Inc,Technology,Communication Equipment,USA,2020000000.0,237.95,15.11,0.006,1618748.0
FBYD,Falcon's Beyond Global Inc,Industrials,Conglomerates,USA,333040000.0,,6.06,-0.050199999999999995,203841.0
FBYY,GraniteShares YieldBOOST META ETF,Financial,Exchange Traded Fund,USA,,,17.74,0.013000000000000001,769.0
FCUV,Focus Universal Inc,Technology,Scientific & Technical Instruments,USA,5910000.0,,0.72,0.045599999999999995,38964.0
FDND,FT Vest Dow Jones Internet & Target Income ETF,Financial,Exchange Traded Fund,USA,,,21.32,-0.002,720.0
FDRS,Founder-Led ETF,Financial,Exchange Traded Fund,USA,,,23.3,0.0073,148860.0
FEDU,Four Seasons Education (Cayman) Inc ADR,Consumer Defensive,Education & Training Services,China,17360000.0,14.15,7.68,-0.3018,8656.0
FEED,ENvue Medical Inc,Healthcare,Medical Devices,USA,1370000.0,,1.26,0.024399999999999998,7789120.0
FFF,Founders 100 ETF,Financial,Exchange Traded Fund,USA,,,23.59,0.0027,2116.0
FIG,Figma Inc,Technology,Software - Application,USA,13420000000.0,,27.07,-0.024900000000000002,11786260.0
FIGG,Leverage Shares 2x Long FIG Daily ETF,Financial,Exchange Traded Fund,USA,,,2.34,-0.048799999999999996,872518.0
FIS,"Fidelity National Information Services, Inc",Technology,Information Technology Services,USA,31370000000.0,190.8,60.58,0.0085,3803377.0
FLUT,Flutter Entertainment Plc,Consumer Cyclical,Gambling,USA,31740000000.0,,181.07,-0.016399999999999998,3467624.0
FNGG,Direxion Daily NYSE FANG+ Bull 2X Shares,Financial,Exchange Traded Fund,USA,,,186.43,0.0016,15392.0
FNGO,MicroSectors FANG+Index 2X Leveraged ETNs,Financial,Exchange Traded Fund,USA,,,105.53,0.0004,41920.0
FNGS,MicroSectors FANG ETNs,Financial,Exchange Traded Fund,USA,,,64.95,-0.0006,67355.0
FNGU,MicroSectors FANG+ 3X Leveraged ETNs,Financial,Exchange Traded Fund,USA,,,21.59,0.0005,7995110.0
FRSX,Foresight Autonomous Holdings Ltd ADR,Consumer Cyclical,Auto Parts,Israel,5010000.0,,1.03,-0.0374,828828.0
FTFT,Future FinTech Group Inc,Technology,Software - Application,USA,10530000.0,,2.09,-0.12179999999999999,235987.0
FVRR,Fiverr International Ltd,Communication Services,Internet Content & Information,Israel,578770000.0,26.78,15.7,-0.0051,1182388.0
GDDY,Godaddy Inc,Technology,Software - Infrastructure,USA,14070000000.0,17.94,104.14,0.0063,1947688.0
GDXD,MicroSectors Gold Miners -3X Inverse Leveraged ETNs,Financial,Exchange Traded Fund,USA,,,4.91,0.0337,21244991.0
GGME,Invesco Next Gen Media and Gaming ETF,Financial,Exchange Traded Fund,USA,,,56.28,0.0053,22786.0
GGOV,iShares Global Government Bond USD Hedged Active ETF,Financial,Exchange Traded Fund,USA,,,48.51,0.0032,8.0
GIND,Goldman Sachs India Equity ETF,Financial,Exchange Traded Fund,USA,,,24.85,-0.0083,3966.0
GLL,ProShares UltraShort Gold -2x Shares,Financial,Exchange Traded Fund,USA,,,20.8,-0.0285,8617879.0
GOVX,Geovax Labs Inc,Healthcare,Biotechnology,USA,5160000.0,,2.98,0.0681,143429.0
GPRO,GoPro Inc,Technology,Consumer Electronics,USA,211070000.0,,1.3,0.0078000000000000005,2578559.0
GRAG,Leverage Shares 2X Long GRAB Daily ETF,Financial,Exchange Traded Fund,USA,,,10.51,-0.0478,35590.0
GRI,GRI Bio Inc,Healthcare,Biotechnology,USA,3100000.0,,0.22,-0.0421,2238404.0
GRND,Grindr Inc,Technology,Software - Application,USA,2210000000.0,,11.94,-0.0091,1665269.0
GTLB,Gitlab Inc,Technology,Software - Infrastructure,USA,5580000000.0,,33.15,0.0033,3704084.0
GTM,ZoomInfo Technologies Inc,Technology,Software - Application,USA,2730000000.0,27.65,8.76,-0.0028000000000000004,3834110.0
GWRE,Guidewire Software Inc,Technology,Software - Application,USA,13510000000.0,150.74,158.96,0.0226,2380632.0
HAE,Haemonetics Corp,Healthcare,Medical Devices,USA,3280000000.0,20.45,70.11,0.0001,1520782.0
HCTI,Healthcare Triangle Inc,Healthcare,Health Information Services,USA,2350000.0,,0.4,-0.054400000000000004,1460368.0
HDB,HDFC Bank Ltd. ADR,Financial,Banks - Regional,India,164770000000.0,19.32,32.13,-0.006500000000000001,6984658.0
HIMS,Hims & Hers Health Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,6580000000.0,53.41,28.89,-0.0519,27782324.0
HIMY,Defiance Leveraged Long + Income HIMS ETF,Financial,Exchange Traded Fund,USA,,,4.93,-0.1099,59942.0
HIMZ,Defiance Daily Target 2X Long HIMS ETF,Financial,Exchange Traded Fund,USA,,,4.46,-0.1026,7299052.0
HIND,Vyome Holdings Inc,Healthcare,Biotechnology,USA,15130000.0,,2.68,-0.028999999999999998,17016.0
HIYY,YieldMax HIMS Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,,,21.68,-0.0483,7165.0
HMYY,GraniteShares YieldBoost HIMS ETF,Financial,Exchange Traded Fund,USA,,,15.06,-0.055,19149.0
HOYY,GraniteShares YieldBOOST HOOD ETF,Financial,Exchange Traded Fund,USA,,,12.09,0.0009,94947.0
HPQ,HP Inc,Technology,Computer Hardware,USA,17930000000.0,7.36,19.53,-0.013600000000000001,18298505.0
HSTM,Healthstream Inc,Healthcare,Health Information Services,USA,630150000.0,31.13,21.24,-0.0033,211506.0
HTCR,HeartCore Enterprises Inc,Technology,Software - Application,Japan,6950000.0,,0.27,-0.062400000000000004,270556.0
HTT,High Templar Tech Ltd. ADR,Financial,Credit Services,China,314070000.0,4.62,3.09,0.0098,198473.0
HUBS,HubSpot Inc,Technology,Software - Application,USA,15840000000.0,,302.32,-0.008100000000000001,1221274.0
HUIZ,Huize Holding Ltd ADR,Financial,Insurance Brokers,China,18960000.0,8.86,2.21,-0.030699999999999998,1971.0
HURA,TuHURA Biosciences Inc,Healthcare,Biotechnology,USA,41710000.0,,0.69,0.009000000000000001,279256.0
IBG,Innovation Beverage Group Ltd,Consumer Defensive,Beverages - Wineries & Distilleries,Australia,3330000.0,,0.96,-0.382,1188924.0
